paper_ID,item_type,year,author,title,journal,ISSN,DOI,abstract,date,date_added,date_modified,pages,issue,volume
XLE9CETS,journalArticle,2021,"Luo, Bo; Xu, Rong; Li, Yunchun; Zhou, Wenyu; Wang, Weiwei; Gao, Huimin; Wang, Zhen; Deng, Yingchun; Liu, Ying; Feng, Jiang",Artificial light reduces foraging opportunities in wild least horseshoe bats,ENVIRONMENTAL POLLUTION,,,,,,,,,
RAI4W6YB,journalArticle,2024,"Hermans, Claire; Litovska, Iryna; de Pastors, Melyssa; Visser, Marcel E.; Spoelstra, Kamiel",Artificial light at night drives diel activity patterns of synanthropic pipistrelle bats and their prey,SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,
JTRLFNEZ,journalArticle,2024,"Zou, Wenyu; Wu, Pan; Wei, Xinyi; Zhou, Daying; Deng, Yingchun; Jiang, Yunke; Luo, Bo; Liu, Wenqin; Huo, Jiaxin; Peng, Shichen; Feng, Jiang",Artificial light affects foraging behavior of a synanthropic bat,INTEGRATIVE ZOOLOGY,,,,,,,,,
VJYQBTQM,journalArticle,2022,"Li, Han; Wilkins, Kenneth T.",Predator-Prey Relationship between Urban Bats and Insects Impacted by Both Artificial Light at Night and Spatial Clutter,BIOLOGY-BASEL,,,,,,,,,
S66RNGT5,journalArticle,2019,"Straka, Tanja M.; Wolf, Maritta; Gras, Pierre; Buchholz, Sascha; Voigt, Christian C.",Tree Cover Mediates the Effect of Artificial Light on Urban Bats,FRONTIERS IN ECOLOGY AND EVOLUTION,,,,,,,,,
4XJZH9V7,journalArticle,2022,"Hooker, Jack; Lintott, Paul; Stone, Emma",Lighting up our waterways: Impacts of a current mitigation strategy on riparian bats,ENVIRONMENTAL POLLUTION,,,,,,,,,
BZEQ8T8A,journalArticle,2024,"Schamhart, Titia; Browne, Clare; Borkin, Kerry M.; Ling, Nicholas; Pattemore, David E.; Tempero, Grant W.",Detection rates of long-tailed bats (<i>Chalinolobus tuberculatus</i>) decline in the presence of artificial light,NEW ZEALAND JOURNAL OF ZOOLOGY,,,,,,,,,
PEQSAQ2H,journalArticle,2017,"Russo, D.; Cistrone, L.; Libralato, N.; Korine, C.; Jones, G.; Ancillotto, L.",Adverse effects of artificial illumination on bat drinking activity,ANIMAL CONSERVATION,,,,,,,,,
XNJYWVXG,journalArticle,2017,"Linley, Grant D.",The impact of artificial lighting on bats along native coastal vegetation,AUSTRALIAN MAMMALOGY,,,,,,,,,
AFL4H9TP,journalArticle,2011,"Polak, T.; Korine, C.; Yair, S.; Holderied, M. W.",Differential effects of artificial lighting on flight and foraging behaviour of two sympatric bat species in a desert,JOURNAL OF ZOOLOGY,,,,,,,,,
S69B7UDF,journalArticle,2019,"Cravens, Zachary M.; Boyles, Justin G.",Illuminating the physiological implications of artificial light on an insectivorous bat community,OECOLOGIA,,,,,,,,,
UML2BYI5,journalArticle,2022,"Bolliger, Janine; Haller, Jorg; Wermelinger, Beat; Blum, Stephan; Obrist, Martin K.",Contrasting effects of street light shapes and LED color temperatures on nocturnal insects and bats,BASIC AND APPLIED ECOLOGY,,,,,,,,,
3XFG2DIV,journalArticle,2021,"Seewagen, Chad L.; Adams, Amanda M.",Turning to the dark side: LED light at night alters the activity and species composition of a foraging bat assemblage in the northeastern United States,ECOLOGY AND EVOLUTION,,,,,,,,,
B8UW2LWP,journalArticle,2024,"Zhou, Daying; Deng, Yingchun; Wei, Xinyi; Li, Taohong; Li, Ziyi; Wang, Sirui; Jiang, Yunke; Liu, Wenqin; Luo, Bo; Feng, Jiang",Behavioral responses of cave-roosting bats to artificial light of different spectra and intensities: Implications for lighting management strategy,SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,
24F54D78,journalArticle,2018,"Zeale, Matt R. K.; Stone, Emma L.; Zeale, Emma; Browne, William J.; Harris, Stephen; Jones, Gareth",Experimentally manipulating light spectra reveals the importance of dark corridors for commuting bats,GLOBAL CHANGE BIOLOGY,,,,,,,,,
8YUGXIPS,journalArticle,2023,"Barre, K.; Thomas, I.; Le Viol, I.; Spoelstra, K.; Kerbiriou, C.",Manipulating spectra of artificial light affects movement patterns of bats along ecological corridors,ANIMAL CONSERVATION,,,,,,,,,
7BUVFKH4,journalArticle,2019,"Russo, D.; Ancillotto, L.; Cistrone, L.; Libralato, N.; Domer, A.; Cohen, S.; Korine, C.",Effects of artificial illumination on drinking bats: a field test in forest and desert habitats,ANIMAL CONSERVATION,,,,,,,,,
EJRVE3NX,journalArticle,2015,"Mathews, Fiona; Roche, Niamh; Aughney, Tina; Jones, Nicholas; Day, Julie; Baker, James; Langton, Steve",Barriers and benefits: implications of artificial night-lighting for the distribution of common bats in Britain and Ireland,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,,,,,,,,,
HYJXU4SH,journalArticle,2018,"Froidevaux, Jeremy S. P.; Fialas, Penelope C.; Jones, Gareth",Catching insects while recording bats: impacts of light trapping on acoustic sampling,REMOTE SENSING IN ECOLOGY AND CONSERVATION,,,,,,,,,
66FLKFKZ,journalArticle,2019,"Haddock, Joanna K.; Threlfall, Caragh G.; Law, Bradley; Hochuli, Dieter F.",Light pollution at the urban forest edge negatively impacts insectivorous bats,BIOLOGICAL CONSERVATION,,,,,,,,,
ET3ZJ4BQ,journalArticle,2020,"Bhardwaj, M.; Soanes, K.; Lahoz-Monfort, J. J.; Lumsden, L. F.; van der Ree, R.",Artificial lighting reduces the effectiveness of wildlife-crossing structures for insectivorous bats,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,,,,,,,,
ZJPZ9RXT,journalArticle,2021,"Rydell, Jens; Michaelsen, Tore Christian; Sanchez-Navarro, Sonia; Eklof, Johan",How to leave the church: light avoidance by brown long-eared bats,MAMMALIAN BIOLOGY,,,,,,,,,
NSX6JM2N,journalArticle,2018,"Rowse, Elizabeth G.; Harris, Stephen; Jones, Gareth",Effects of dimming light-emitting diode street lights on light-opportunistic and light-averse bats in suburban habitats,ROYAL SOCIETY OPEN SCIENCE,,,,,,,,,
VVFDM644,journalArticle,2019,"Frank, Tanner M.; Gabbert, Whitney C.; Chaves-Campos, Johel; LaVal, Richard K.",Impact of artificial lights on foraging of insectivorous bats in a Costa Rican cloud forest,JOURNAL OF TROPICAL ECOLOGY,,,,,,,,,
6U4C3PYJ,journalArticle,2022,"Cory-Toussaint, Dawn; Taylor, Peter J.","Anthropogenic Light, Noise, and Vegetation Cover Differentially Impact Different Foraging Guilds of Bat on an Opencast Mine in South Africa",FRONTIERS IN ECOLOGY AND EVOLUTION,,,,,,,,,
4JKD8PBP,journalArticle,2015,"Day, J.; Baker, J.; Schofield, H.; Mathews, F.; Gaston, K. J.",Part-night lighting: implications for bat conservation,ANIMAL CONSERVATION,,,,,,,,,
JVKBW98Y,journalArticle,2008,"Scanlon, Annette T.; Petit, Sophie","Effects of site, time, weather and light on urban bat activity and richness: considerations for survey effort",WILDLIFE RESEARCH,,,,,,,,,
6IHYJZ5N,journalArticle,2009,"Stone, Emma Louise; Jones, Gareth; Harris, Stephen",Street Lighting Disturbs Commuting Bats,CURRENT BIOLOGY,,,,,,,,,
N79D5XMB,journalArticle,2019,"Pauwels, J.; Le Viol, I.; Azam, C.; Valet, N.; Julien, J. -F.; Bas, Y.; Lemarchand, C.; Sanchez de Miguel, A.; Kerbiriou, C.",Accounting for artificial light impact on bat activity for a biodiversity-friendly urban planning,LANDSCAPE AND URBAN PLANNING,,,,,,,,,
